Data;Hora;Gênero m0 f1;Idade;Tipo i0 p1;Tempo;Gasto Semana;Cigarros Semana;Tentou parar 1;Acompanhado 1;Pessoas;Local: Residência;Local: Residência de outros;Local: Instituição de ensino;Local: Festas;Local: Trabalho;Local: Locais públicos;Local: Estabelecimentos particulares;Fator: Horário do dia;Fator: Refeição;Fator:  Pessoas específicas;Fator:  Local específico;Fator:  Sentimento específico;Fator: Hábito específico;Fator:  Dia da semana;Reforço Informativo;Reforço Utilitário;Punição Informativo;Punição Utilitário;Utilitário;Informativo;Utilitário2;Informativo2
20/04/2019;14:26:54;0;19;0;2;40;30;1;1;5;5;4;4;5;1;3;3;1;1;2;3;6;6;5;4;11;3;9;20;7;400;49
20/04/2019;16:48:30;0;21;1;2;20;50;0;1;5;5;4;4;5;2;2;3;2;5;6;6;4;6;1;6;10;7;7;17;13;289;169
25/04/2019;11:52:41;0;20;1;2;20;15;0;1;8;5;4;5;5;2;3;2;5;6;6;6;4;4;2;4;7;3;5;12;7;144;49
25/04/2019;12:16:40;0;23;1;4;20;20;0;1;5;5;3;5;5;1;5;5;1;1;6;6;4;4;1;4;11;4;4;15;8;225;64
25/04/2019;12:40:15;0;22;1;2;20;14;0;1;5;1;5;3;5;1;1;1;5;4;5;4;3;3;1;6;8;3;10;18;9;324;81
25/04/2019;13:20:15;0;18;0;5;40;70;0;1;8;5;4;5;5;1;5;3;1;6;1;3;6;1;1;6;11;10;8;19;16;361;256
25/04/2019;15:49:20;0;20;1;2;30;40;0;1;5;5;5;4;5;1;4;3;1;1;1;1;1;1;1;4;9;3;11;20;7;400;49
07/05/2019;15:33:32;0;20;1;3;20;20;1;1;8;5;3;3;5;2;4;4;4;3;6;6;4;5;1;2;7;7;6;13;9;169;81
11/06/2019;17:43:44;0;32;0;19;42;100;0;0;0;5;3;2;4;4;5;4;5;6;1;1;3;5;1;2;8;6;8;16;8;256;64
11/06/2019;17:44:01;1;22;0;3;80;170;0;0;0;5;4;5;5;3;5;5;6;4;6;6;6;6;6;2;12;8;10;22;10;484;100
11/06/2019;18:04:50;0;22;1;4;5;7;0;0;0;2;3;4;5;2;3;4;2;4;5;6;5;6;3;4;11;6;7;18;10;324;100
11/06/2019;18:19:09;0;26;1;4;5;5;1;0;0;4;2;4;4;1;4;1;5;2;3;1;6;6;4;7;11;7;3;14;14;196;196
11/06/2019;18:23:16;1;30;0;7;35;80;1;0;0;5;3;1;5;1;5;5;4;5;6;6;6;6;6;5;10;4;3;13;9;169;81
11/06/2019;18:45:38;0;22;1;2;10;5;1;0;0;5;4;2;3;1;1;2;6;5;5;2;6;4;1;3;9;6;11;20;9;400;81
11/06/2019;18:54:28;0;22;0;0,5;50;140;0;1;3;5;4;3;5;4;2;2;1;1;4;1;5;5;5;7;11;7;2;13;14;169;196
11/06/2019;18:58:29;0;39;0;22;35;200;0;0;0;5;1;1;5;4;5;1;6;6;4;6;6;6;1;3;10;10;11;21;13;441;169
11/06/2019;19:07:41;0;24;0;5;5;7;0;0;0;5;5;5;4;5;4;4;6;6;6;5;5;6;5;4;7;4;6;13;8;169;64
11/06/2019;19:35:41;0;22;0;9;100;100;1;0;0;5;4;5;5;5;5;5;5;6;6;4;5;6;1;8;6;9;11;17;17;289;289
